plotid,altitude,aspect,slope,svf,topo,rock_r,r_in_s
290053,3125,240,20,0.96,2,20,5
093058,3033,135,10,0.98,5,5,60
300113,3165,0,0,0.97,1,30,40
270077,3000,300,25,0.98,2,80,20
310507,2899,140,30,0.98,2,30,0
110166,2956,180,30,1,1,15,20
290047,3103,210,10,0.96,1,0,25
200534,3117,40,40,0.99,1,2,1
088055,2974,290,20,0.99,1,0,0
110318,2910,180,25,0.96,1,10,25
250097,2749,340,27,0.99,2,3,3
250067,2884,100,36,0.97,2,0,0
200292,2981,280,45,0.93,1,0,10
300125,2843,340,15,0.99,2,3,5
200066,2618,20,30,0.91,1,1,0
250109,2944,270,28,0.99,1,1,5
200068,2823,43,20,0.93,3,1,0
110274,2990,35,40,0.98,2,1,5
273062,2824,160,31,0.99,4,0,3
110406,2963,40,5,0.98,1,0,0
110464,2610,220,10,1,1,0,5
110405,2800,90,20,0.98,1,0,0
300120,2990,180,7,1,1,3,3
110486,3080,55,45,0.93,2,10,5
110501,2840,340,35,0.95,1,5,30
200280,2756,240,37,0.99,4,0,0
200238,3091,220,30,0.98,3,0,3
200511,2968,320,53,0.96,2,30,2
310505,3025,140,38,0.98,3,20,0
020474,3226,160,33,0.95,2,50,15
200247,3024,340,46,0.99,3,0,0
300121,3000,150,15,1,2,0,3
020458,2709,90,21,0.99,1,0,5
087012,2640,225,30,0.97,1,0,5
300174,2798,50,48,0.97,2,50,50
110452,2619,1,10,1,1,0,10
110453,2745,280,5,1,1,0,5
300186,2745,60,60,0.94,1,40,50
110404,2531,40,60,0.95,2,0,20
088010,2770,260,40,0.97,1,0,5
081002,2940,115,35,1,3,0,5
250107,3144,260,28,1,2,5,1
273058,2808,350,45,0.97,2,0,1
088046,2592,60,40,0.97,3,0,40
093060,2830,225,45,1,3,0,0
273059,2696,30,21,0.98,1,0,1
110319,2760,180,10,0.93,1,0,0
200113,2808,80,34,0.99,1,0,0
200083,2725,307,7,0.99,5,3,5
110101,2860,90,1,0.96,3,0,0
270075,2899,320,45,0.96,2,1,0
300061,2878,50,20,0.95,3,10,40
273047,2590,110,27,0.97,5,0,3
093120,2710,170,35,0.96,1,0,90
020469,3197,300,32,0.99,2,80,20
110420,2622,60,5,0.99,2,0,5
300175,2790,0,28,0.99,1,10,50
110047,2684,40,25,1,2,0,0
200508,3098,230,48,0.99,2,40,3
250035,2983,100,35,0.96,2,80,10
250064,2985,80,33,0.94,2,10,2
200235,2860,70,33,0.99,3,5,5
320049,2950,320,32,0.94,1,1,1
088090,2750,140,35,0.97,1,0,20
200067,2721,340,35,0.91,3,1,0
200537,2798,210,35,0.99,3,4,0
250038,3179,120,40,0.95,2,2,0
200282,2937,60,37,0.99,2,0,1
300183,2843,130,38,1,2,90,90
300075,2600,260,30,0.94,2,5,10
020460,2839,130,26,0.99,1,1,5
088035,3075,220,35,0.99,2,5,5
300123,2861,140,25,0.98,2,0,3
200510,2891,50,28,0.95,3,10,0
110167,2927,180,30,1,3,10,20
088097,2619,280,10,0.99,5,75,80
310369,2946,40,26,0.99,1,10,5
300187,2848,270,15,0.94,3,30,50
270083,2764,260,0,0.98,1,0,10
200509,3035,330,52,0.96,2,40,0
320285,2939,0,35,0.94,1,60,0
200536,2631,280,43,0.97,1,4,0
273038,3111,75,38,0.99,1,1,10
310370,2744,0,20,0.99,1,20,50
300059,2812,90,10,0.99,3,10,20
250031,3020,150,30,0.97,2,80,0
270050,2825,310,35,0.99,5,50,5
250111,2800,280,15,0.99,1,0,2
270076,2740,180,45,0.96,2,0,0
270084,2700,20,5,0.98,1,0,5
270015,2700,90,60,0.98,3,0,10
081026,2586,180,40,0.96,1,0,2
110442,2683,320,40,1,1,5,30
320286,2735,0,45,0.94,3,40,0
081028,2648,340,45,0.96,1,0,5
320032,2497,30,1,0.96,1,0,0
320034,2795,250,0,0.96,1,0,0
200063,2653,55,20,0.99,1,25,5
070110,2485,128,5,1,1,0,5
020457,2530,280,35,0.96,1,1,10
110039,2691,90,15,0.94,3,0,0
088047,2601,20,60,0.97,1,0,0
300122,2865,310,30,0.98,2,0,3
240059,3038,150,42,0.93,2,5,0
300118,3067,330,20,0.98,1,5,3
200267,3400,20,41,0.99,2,30,1
310304,3566,180,25,1,1,40,0
200269,3407,320,25,0.97,2,1,1
290046,3060,170,5,0.96,1,10,50
300114,3331,350,20,0.94,1,5,40
200279,3100,310,35,0.99,2,1,1
310502,3202,210,23,1,2,5,0
300119,3068,280,20,0.95,2,3,3
290042,3462,200,40,0.99,2,10,60
300190,3240,140,30,0.97,1,5,50
200274,3256,20,38,0.97,2,1,1
310310,3277,130,2,1,1,20,0
320046,3282,258,25,0.99,2,1,0
290043,3230,190,15,0.95,1,5,35
081032,2990,180,40,0.97,1,5,100
200080,3519,146,55,0.89,2,35,15
200074,3572,64,35,1,3,80,20
081036,3379,20,20,1,3,10,20
200078,3326,335,42,0.99,5,40,0
200076,3273,33,25,0.99,5,40,60
300112,3280,45,40,0.95,2,80,80
110114,3727,20,25,0.99,2,0,0
110112,3593,320,15,1,1,20,40
081043,3568,70,40,0.97,3,20,100
270037,3571,160,30,0.98,2,25,40
088138,3063,120,20,0.99,1,15,20
088037,2563,80,45,0.96,3,10,100
088050,2833,100,20,0.99,2,0,0
088157,2830,50,40,0.99,3,0,10
081030,3405,110,35,0.96,1,5,100
020459,2713,130,20,0.99,1,0,5
110048,2912,290,25,0.99,2,0,0
110417,3090,340,65,0.99,1,20,40
110123,3014,149,10,0.98,2,0,0
081034,3350,0,45,0.96,1,50,100
200505,2984,45,39,1,2,2,0
020467,3243,190,21,0.97,1,0,5
270040,3391,1,0,0.94,1,70,80
110506,3080,270,40,0.99,1,1,1
270035,3487,160,5,1,1,10,20
310314,3496,110,26,0.98,1,0,0
300264,3237,30,55,1,1,40,80
310324,3424,40,20,0.95,2,5,0
110500,3165,30,5,1,5,5,20
110496,3285,85,45,1,5,20,20
270081,3320,280,15,0.92,1,25,20
250112,2873,300,12,0.99,1,0,0
250059,2894,130,35,0.97,3,5,0
020454,3272,170,27,0.98,1,0,1
310329,3540,150,17,0.98,5,20,0
110489,3085,355,5,0.99,1,10,30
310318,3360,210,33,0.99,1,30,0
300005,3140,270,35,0.98,2,15,10
081020,3457,280,35,0.96,1,5,100
081023,3042,280,35,0.98,1,5,20
110498,3375,340,35,0.98,4,5,35
250032,3213,150,35,0.97,2,40,0
310320,2850,20,39,0.98,2,10,0
020472,3178,150,15,0.95,1,0,1
270041,3498,0,5,0.99,1,0,5
081021,3339,310,30,1,1,5,100
300056,3064,40,40,0.96,1,85,70
200239,3206,0,31,0.98,2,5,5
200293,2874,276,42,0.93,2,10,5
200072,3678,60,35,0.98,2,30,50
